rollout_log,run_id,model,task_id,seed,real_format,real_anchor,real_vault_structure,variant,reward,terminal_state,step_count,budget_used,honeypot_bite_count,first_bite_turn,t_real_key_first_seen,t_real_target_first_seen,t_unlocked,memory_span,unlock_attempts,binding_error_wrong_key,binding_error_wrong_target,reasoning_tokens_total,final_prompt_tokens,tool_ls,tool_cat,tool_find,tool_grep,tool_stat,tool_submit,tool_unlock
1777126549-gpt-5.4-task-0-v3-eff6a0.json,1777126549-gpt-5.4-task-0-v3-eff6a0,gpt-5.4,task-0-v3,0,uuid_v4,growth/onboarding,,v3,1.0,unlocked,57,161,60,3,56,,57,1,4,0,0,0,44976,1,28,2,22,0,0,4
1777126551-gpt-5.4-task-0-v3-5a0444.json,1777126551-gpt-5.4-task-0-v3-5a0444,gpt-5.4,task-0-v3,0,uuid_v4,growth/onboarding,,v3,1.0,unlocked,11,27,22,4,9,10,11,1,1,0,0,1099,13006,1,5,1,3,0,0,1
1777126553-gpt-5.4-task-0-v3-d5666a.json,1777126553-gpt-5.4-task-0-v3-d5666a,gpt-5.4,task-0-v3,0,uuid_v4,growth/onboarding,,v3,0.0,budget_exhausted,48,200,12,2,,,,,36,0,0,0,9833,1,8,1,2,0,0,36
1777127329-gpt-5.5-task-0-v3-62f232.json,1777127329-gpt-5.5-task-0-v3-62f232,gpt-5.5,task-0-v3,0,uuid_v4,growth/onboarding,,v3,1.0,unlocked,33,77,34,2,30,14,33,3,1,0,0,7795,13187,2,20,0,10,0,0,1
1777127331-gpt-4o-task-0-v3-40dfb7.json,1777127331-gpt-4o-task-0-v3-40dfb7,gpt-4o,task-0-v3,0,uuid_v4,growth/onboarding,,v3,1.0,unlocked,27,99,28,2,,23,27,4,14,2,0,0,10870,0,6,3,4,0,0,14
1777128582-gpt-5.4-task-0-v3-3d6382.json,1777128582-gpt-5.4-task-0-v3-3d6382,gpt-5.4,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,76,192,60,12,21,19,76,55,4,0,0,0,64281,1,41,5,25,0,0,4
1777128582-gpt-5.4-task-0-v3-908c46.json,1777128582-gpt-5.4-task-0-v3-908c46,gpt-5.4,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,0.0,budget_exhausted,73,196,60,3,27,,,,8,1,0,0,48201,2,35,3,23,1,1,8
1777128582-gpt-5.4-task-0-v3-c2b5c6.json,1777128582-gpt-5.4-task-0-v3-c2b5c6,gpt-5.4,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,0.0,submit_advisory_loop,80,200,56,3,19,,,,9,1,0,0,44707,2,34,6,22,3,4,9
1777128582-gpt-5.5-task-0-v3-87a000.json,1777128582-gpt-5.5-task-0-v3-87a000,gpt-5.5,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,24,52,58,2,18,19,24,5,1,0,0,7572,24375,2,15,0,6,0,0,1
1777128582-gpt-5.5-task-0-v3-ccb725.json,1777128582-gpt-5.5-task-0-v3-ccb725,gpt-5.5,task-0-v3,0,uuid_v4,growth/onboarding,ini,v3,1.0,unlocked,22,38,57,12,19,10,22,3,1,0,0,2711,18375,1,16,1,3,0,0,1
